dataset2\1_-1.jpg: ahelloworldee
dataset2\5_-8.jpg: textfcognition
dataset2\5_-9.jpg: texttecornition
dataset2\5_0.jpg: textrecognition
dataset2\5_1.jpg: textrecognition
dataset2\5_10.jpg: textrecognition
dataset2\5_11.jpg: textrecognition
dataset2\5_12.jpg: textreognitot
dataset2\5_13.jpg: textpecognstiom
dataset2\5_14.jpg: exteoountio
dataset2\5_15.jpg: testpecountio
dataset2\5_16.jpg: openeegps
dataset2\5_17.jpg: testeso
dataset2\5_18.jpg: jestecon
dataset2\5_19.jpg: eitseeot
dataset2\5_2.jpg: eeetextrecognitiona
dataset2\5_20.jpg: ext0
dataset2\5_3.jpg: llltextrecognition
dataset2\5_4.jpg: llltextrecognition
dataset2\5_5.jpg: eetextrecognition
dataset2\5_6.jpg: uutextyecognition
dataset2\5_7.jpg: textrecognition
dataset2\5_8.jpg: textrecognition
dataset2\5_9.jpg: textreeognition
dataset2\6_-1.jpg: acom
dataset2\6_-10.jpg: aacoma
dataset2\6_-11.jpg: acweom
dataset2\6_-12.jpg: aécooom
dataset2\6_-13.jpg: aacmeomq
dataset2\6_-14.jpg: acomeom
dataset2\6_-15.jpg: iicoy
dataset2\6_-16.jpg: adcjom
dataset2\6_-17.jpg: 4acyaeom
dataset2\6_-18.jpg: i4iacom
dataset2\6_-19.jpg: i46acoyq
dataset2\6_-2.jpg: acom
dataset2\6_-20.jpg: pcmcoya
dataset2\6_-3.jpg: acom
dataset2\6_-4.jpg: acom
dataset2\6_-5.jpg: acom
dataset2\6_-6.jpg: acomai
dataset2\6_-7.jpg: enacoma
dataset2\6_-8.jpg: eeacoma
dataset2\6_-9.jpg: acoma
dataset2\6_0.jpg: acom
dataset2\6_1.jpg: acom
dataset2\6_10.jpg: acom
dataset2\6_11.jpg: omacee
dataset2\6_12.jpg: wprceac
dataset2\6_13.jpg: 1aco
dataset2\6_14.jpg: acom
dataset2\6_15.jpg: aco
dataset2\6_16.jpg: gcom
dataset2\6_17.jpg: cc
dataset2\6_18.jpg: cc
dataset2\6_19.jpg: riconae
dataset2\6_2.jpg: acom
dataset2\6_20.jpg: aae7cona
dataset2\6_3.jpg: acom
dataset2\6_4.jpg: acom
dataset2\6_5.jpg: acom
dataset2\6_6.jpg: acom
dataset2\6_7.jpg: acom
dataset2\6_8.jpg: acom
dataset2\6_9.jpg: acom
dataset2\7_-1.jpg: qbeacomoo
dataset2\7_-10.jpg: aacoma
dataset2\7_-11.jpg: eeacoma
dataset2\7_-12.jpg: aacoma
dataset2\7_-13.jpg: aaona
dataset2\7_-14.jpg: aaoa
dataset2\7_-15.jpg: aaon
dataset2\7_-16.jpg: iomja
dataset2\7_-17.jpg: ioma
dataset2\7_-18.jpg: oma
dataset2\7_-19.jpg: oojaona
dataset2\7_-2.jpg: acom
dataset2\7_-20.jpg: ona
dataset2\7_-3.jpg: acom
dataset2\7_-4.jpg: acom
dataset2\7_-5.jpg: acom
dataset2\7_-6.jpg: iacompectsns
dataset2\7_-7.jpg: ooacomia
dataset2\7_-8.jpg: acomee
dataset2\7_-9.jpg: rtacom
dataset2\7_0.jpg: acom
dataset2\7_1.jpg: aacomoe
dataset2\7_10.jpg: acomt
dataset2\7_11.jpg: acom
dataset2\7_12.jpg: acom
dataset2\7_13.jpg: acon
dataset2\7_14.jpg: aco
dataset2\7_15.jpg: aaco
dataset2\7_16.jpg: aco
dataset2\7_17.jpg: aaco
dataset2\7_18.jpg: igco
dataset2\7_19.jpg: aco
dataset2\7_2.jpg: acom
dataset2\7_20.jpg: aco
dataset2\7_3.jpg: acom
dataset2\7_4.jpg: acomi
dataset2\7_5.jpg: acompe
dataset2\7_6.jpg: weennecawh7acom
dataset2\7_7.jpg: acompoee
dataset2\7_8.jpg: sgeaseibiabiasacom
dataset2\7_9.jpg: acom
